comment_id,create_time,ip_location,aweme_id,content,user_id,sec_uid,short_user_id,user_unique_id,nickname,avatar,sub_comment_count,last_modify_ts,liked_count,senta,senta_prob
6994220499912065832,1628468865,,6982957900083907844,我以前养阿拉斯加和拉布拉多，确实会有人怕，所以我都是半夜遛狗，而且还牵防爆冲牵引绳[捂脸],92981686608,MS4wLjABAAAAJIS_8fDJMEqTiaeDZ_YMnIYHIqqxffWHa-7eT0pBN_I,367856603,,✨泡沫小鱼儿,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_eb9f632acd0a8a11c9e3cf5b40efd6b9.jpeg?from=2956013662,1,1702999456225,6,正向,0.995921760356886
6994210422707159842,1628466520,,6982957900083907844,马犬很凶的，以前我家边牧那么大体型直接被马犬咬伤。,102440914816,MS4wLjABAAAAaN_nBHQzI2rEpnX42F_FfBl9dZDA_RygLW70SZx6h0o,1229420856,,徐佩莉,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_oABVd0EAa3AfbheyBi75PeNiAUz0BEAIZAmKb7.jpeg?from=2956013662,1,1702999456235,6,负向,0.9981250587948054
7290928232252326710,1697551516,宁夏,7290844754323967273,小区因该禁止养狗，要么乱拉乱尿，要么乱咬人，真是一大麻烦,1543319958349916,MS4wLjABAAAAaC1_-TAy07YqUusyHSFBzIgCSNtWJFIwgcsAEdlx5g_VUHVapeQq9zCjn6tNM9L2,2362436205,zhumengxingc20,蓝色天空🍎,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_o0JyqAzGEAChABOTNAAgIpAflsVFFRndoVAeDj.jpeg?from=2956013662,1,1702999457432,6,负向,0.9997872227349092
7290939723333305148,1697554193,四川,7290844754323967273,那么大的狗居然不牵狗绳，还在小区放敞马儿！他不被抓哪个被抓！严惩不贷！,97559049620,MS4wLjABAAAAHmvhTMSBRTxx3CkgX37oZZ1GcmJyqsP5xQybAHKFSx8,1055419591,dxlylili,是~丽丽LiLi呀,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_8d6b79487b4b44a8afe532651f1ba950.jpeg?from=2956013662,3,1702999457384,6,负向,0.9999060056730826
7290935464989999883,1697553200,浙江,7290844754323967273,最好立法，引以为戒！,2608501931652622,MS4wLjABAAAAL_VYomZThsKk_QWGY8VuBOehIbNb5t-1mxOTss_nssHhWz3K5Hqe611mKfHLZZEa,79733205164,79733205164,米尔,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_808ab1df99a5453690847c8795be84f7.jpeg?from=2956013662,0,1702999457396,6,负向,0.9629179663699574
7290918383452111673,1697549222,江西,7290844754323967273,这段时间好像有好多狗咬人的事件,68203820749,MS4wLjABAAAAkN2JRAeJza3ThZWRy0rVN_v96sR1J5Ifw7ymy2t_yVU,1590872495,cyj15270910599,幸运⭐️,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/mosaic-legacy_1727a0005856018508a58.jpeg?from=2956013662,0,1702999457487,6,负向,0.8967236161745831
6994212925888054054,1628467103,,6982957900083907844,马犬确实挺凶的，母的都凶，我家拉拉还是公的都怕，每次碰到我们这儿的一只母马犬，都要躲，每次那只母马犬都要来弄我们家狗子,96164832547,MS4wLjABAAAA2Q9X4IhNSvESQl7GshZ-gVb-xKdzSvwBQwdsY2mLBKc,1022755151,Shirley1715,黑糖宝宝和鱼女士,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_8d352eb5d7f34e49b77c449976445476.jpeg?from=2956013662,1,1702999456230,6,负向,0.9976502671378996
7290915378150081319,1697548524,湖北,7290844754323967273,如果不严惩怎么除民愤？[震惊],105777349605,MS4wLjABAAAAlLx2AUT7QwqL5Y9xh7938GoM7M_ko7qcvCSj6nnDEl8,2203032546,,老大,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813c001_8f27df1676e74bcea1a2ac7a92683e6e.jpeg?from=2956013662,0,1702999457499,6,负向,0.9998099893982548
6777357480314912780,1577976506,,6777339625028537608,逃避罪加一等,68023606232,MS4wLjABAAAAfC72YMUnvcQeyOnzd-PjCcW2gD_XBNLjl-vg0NhQYB4,69004053,,我也不知道,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_619c6f8def694df588cda8df42205df8.jpeg?from=2956013662,0,1702999446072,6,负向,0.9862593343378164
7290936761941082915,1697553504,广东,7290844754323967273,应重罚重判！,1231919472450775,MS4wLjABAAAAuZMe8hEigOzU6kZKn0lprd8qR-nxKD2kWoiZa91G3AuMJpytTpyWFW0lhcdJOHor,47883845738,47883845738,LEE多多,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_42ba1fbfe95341bc88d8d41d90e3cbca.jpeg?from=2956013662,0,1702999457388,6,负向,0.9998020627552152
