comment_id,create_time,ip_location,aweme_id,content,user_id,sec_uid,short_user_id,user_unique_id,user_signature,nickname,avatar,sub_comment_count,last_modify_ts,liked_count
7292507869919511315,1697919332,北京,7292019569223322919,@小迷糊蛋～ @小白麻麻 如果有人要打死我的狗，就把我也打死算了[尬笑][尬笑],62834249089,MS4wLjABAAAAp-NlUpu2ji44QB6Q5l6i55K_4B_YGSYl2jbouPZieL8,36797411,9ChuRong9,乖乖女人和她的变态男人@三火（永劫无间）,毛茸茸,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_dcb7fabb89fd1e4426c660de46511faa.jpeg?from=2956013662,2,1703400764298,0
7292305038041973555,1697872080,江苏,7292019569223322919,不明白城管的意义[鞠躬],78001469433,MS4wLjABAAAAFXY_K4Gv6uG31vATxdMx5C2yulnYf_QNodenwlRIqQ4,176846939,,向山走去.,瘦到90就改名,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_a58df0a929a942e5a16f7daf516d1479.jpeg?from=2956013662,2,1703400764300,9
7292403129227969299,1697894918,江苏,7292019569223322919,人发疯的时候打伤人或者打死也没看见被枪毙，有多少人做人做事都不如狗[灵机一动][灵机一动][灵机一动][灵机一动][灵机一动],4199755569703437,MS4wLjABAAAA_qx_MxAvnQNHqS_nL_alnRDNdWVefp9hYJh7qGufIREvJj6ugcAyNnvdbC2NuvWV,3400445243,DG1234537,捍卫互联网正能量,抖音法务,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813c001_oc4aE0fgA9DER9vBAAzAIvYEeNygNCDAAJh4NI.jpeg?from=2956013662,0,1703400764303,12
7292596152611996468,1697939864,贵州,7292019569223322919,现在很多人都不是人,95294427279,MS4wLjABAAAA2BN7GiczXe0p_vMwbJGa5I7JyHAKL06mm6vzdkzlIjU,878385119,,,希瑞儿,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/mosaic-legacy_31af00003bad6504a386a.jpeg?from=2956013662,0,1703400764306,3
7292070673160307494,1697817512,甘肃,7292019569223322919,动物保护法都不立用什么工作权犬,3494664988270493,MS4wLjABAAAAfGYEXT0TBJsMucYJPkFmP-wyP7lLAWGzoqmQk3xBBbkroOxZ7sPgFAqlyYX1mB5F,48360048384,48360048384,"每天默念三遍
我是大帅哥
我是大帅哥
我是大帅哥",五仁,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_ooO9aHDA0AITYeDjAGI2gjgInbAreAAusCAloQ.jpeg?from=2956013662,0,1703400764308,13
7292418362230178570,1697898464,江苏,7292019569223322919,人类就是最坏的,4407284659664515,MS4wLjABAAAAwZPn-Yufef6dEWYfKAqeJddP_8xJwXdR4kNzwVX8Ct17DClOFrUH7VJpxn94o1A5,21215142360,21215142360,"记录我家宝宝成长点滴

快乐是自己给的，幸福是自己经营的，成功是自己努力的。不需要人人都理解，做事尽心尽力；不需要人人都喜欢，做人坦坦荡荡。",财神爷的大宝贝儿💰💰💰,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_o0t9EAzSnPAaDAk3O4CEIoNOgAfYAkA5eOzNAh.jpeg?from=2956013662,0,1703400764311,4
7292310131340034831,1697873265,广东,7292019569223322919,tmd,74773489535,MS4wLjABAAAAcnW6w0P-7d4rBkaPqlPathLbLcZGKWq7bR8rgbhtqjQ,117469660,,舞蹈是自学的，承蒙各位喜欢，感谢🙏,简多伊,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_74165d05c937d79687bee19e9fd04d4a.jpeg?from=2956013662,0,1703400764313,2
7292071292555428660,1697817662,辽宁,7292019569223322919,@一颗炸裂的星星 真他妈失望透了,99166850941,MS4wLjABAAAAOgyZfGmTfpM1dmgvyQJrQOshw0o7FwwTiY4uq-zNLnQ,1084462359,tsy1315153942,(• x •),ʸ,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_oAFe2VAEfDzDDgCjCAQAJeCbf89AQ8InAFMIqQ.jpeg?from=2956013662,0,1703400764316,2
7300096408417239845,1699686151,上海,7292019569223322919,确实还有什么东西比人更坏呢，哈哈哈哈哈哈哈,201906154906456,MS4wLjABAAAAZTM10-Sgxy72J64uT730V2DZPOfn-_EHKuU57VWOlUk,3620214419,beibeiliu337,,时间会给你答案,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813c001_4e3c67e80ee74baa9282ae94bc7a10a0.jpeg?from=2956013662,0,1703400764319,0
7297883296196428578,1699170870,安徽,7292019569223322919,一人犯错是不是人类都得灭绝？[抠鼻],61370178899,MS4wLjABAAAApQUa-Ejg7-sV1-yN2xuT1Q9VIRNRd3oY7I0TDmoN7oY,51581977,471212331a,！！！,啊九,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_b2bdf17d91824a71a4546f2882ff18d7.jpeg?from=2956013662,0,1703400764321,0
7293451482677854987,1698139009,湖南,7292019569223322919,搞得到处投毒，她嘛的什么世道了,92226703017,MS4wLjABAAAAOZaItdOGhAVMnODBqZrZD8CaNfO3RF2qms0eIx1mnGI,330688801,,堕落也是一天，积极也是一天，你说怎么选？,马马,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_60d198d737164393875a6e1da758d052.jpeg?from=2956013662,0,1703400764324,0
7292451960451826471,1697906297,河南,7292019569223322919,气疯了,1216508099569725,MS4wLjABAAAAywQ86oRNnYT2IJ7HE6uAruO5C54qsIyHyeOrsuKXHavrgazq2zuTSoTeSFeYfnaT,34168792903,34168792903,往前走啊 想什么呢.,Yolo瑜安🌙,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_2bb7b09267b0ec2971fe3911eb71a8cd.jpeg?from=2956013662,0,1703400764326,0
7292743449253495588,1697974154,贵州,7292019569223322919,太过分了,74435706496,MS4wLjABAAAAtKw7kdc1OGnGh4MecP3ujVvqzKuQmYNMgiriNNKDAMA,1756200678,,,back,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_4045434b79e9718f3a9fa094a689e14b.jpeg?from=2956013662,0,1703400764328,0
7293514745181045539,1698153737,上海,7292019569223322919,好可怜，虐杀的一直存在，不是以前没有，流浪狗也不是以前就有的，希望世间美好，万物和平相处，我放生的流浪鳄鱼也能自由生活，谢谢大家支持,101379094885,MS4wLjABAAAA7DFy46xh6vL0BhftpgUScRZVQoX2-k-awszlVW3kRa4,2125444084,,,鱼塘主周大爷,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_oEAh4XSDEAHADWmC30nztA8e4cAfAAigAPtyId.jpeg?from=2956013662,0,1703400764328,0
7314175089301095208,1702964100,山东,7293352610868907274,[尬笑]你根本不爱！！！！！！,99083873663,MS4wLjABAAAAJtA7a_brJGH8mDsOv9JwCRrDC7OVmku8EKAImykcKMI,1218625461,,15064088383 看猫请＋V 可全国包运,天赐猫舍,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/mosaic-legacy_313de0000900be33f1b01.jpeg?from=2956013662,47,1703400774002,586
7313530009120883506,1702813901,江苏,7293352610868907274,因为影响到人类了 所以人们要杀掉它们  如果人类会飞 鸟儿也难逃一死,59723067469,MS4wLjABAAAAb8MZtBaVyh4rbWmFKz_NBuaZHyD56rqbHVE4prAu2H0,12005299,,牛骨书签钥匙扣纂刻定制,二手时间,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/mosaic-legacy_31b1500012c29556fb3e6.jpeg?from=2956013662,22,1703400774009,162
7315986551501505343,1703385862,北京,7293352610868907274,是的，看不下去那种，但是流浪猫狗还会继续繁衍，又是很多可怜的小可爱们，安乐死虽然不忍心，但是比他们收受苦强百倍吧,76465987982,MS4wLjABAAAAXadN_UHM0se02yxVlS8Zl5saCVGu7FvpvCfMxnrVWOM,579848691,mazhao.,嗯，僦湜適個菋,莪芣湜哪個、昭昭氵,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_03cf66e4c5974581b4224ebb51beea05.jpeg?from=2956013662,0,1703400774014,0
7305994078964466486,1701059307,江苏,7293352610868907274,根本就不是安乐死 是被全部关在一起 不给吃喝 在里面生病被咬 你别说什么绝育要钱 安乐也是要钱的 更没人会安乐 看到过一次 非常的残忍 在里面脏了就用水冲的湿淋淋的 在里面等死[流泪],4471042013931327,MS4wLjABAAAAXKOo5TJj_m7TrZzdwS4p0twP3kkKIodVm2Is8hzGlc1Huee7qZWbuZnu1EefV5Da,55954704713,55954704713,,三三两两25854,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_9f82057890476458341c97439f7aebb3.jpeg?from=2956013662,49,1703400774014,134
7309729524789887755,1701929035,广东,7293352610868907274,我不赞同你的观点,72317605350,MS4wLjABAAAAJviv0_Muxhwjbg96cyQXREI7a6e_xW9IU7adIarQzBU,3685403229,fiend77347,希望喜欢我的人和我喜欢的人都健康快乐,不爱唱歌的小丁🎤,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_a9cd8e78bc27ebeea72e8ad75279758f.jpeg?from=2956013662,145,1703400774019,110
7314881239046013706,1703128510,广东,7293352610868907274,为什么流浪猫狗会一定成为城市隐患[尬笑],2889137789346595,MS4wLjABAAAA2iLH6Q49xHRGM6uZ5htHiKly-ozkaUbXLq2Y4uvp7C_svOiy7IFUgGuB8lUtcBuc,2173788465,yuzhongbuT,,哎哟,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_57e1d7ff850f8de2fceb3b362adee6cf.jpeg?from=2956013662,7,1703400774019,4
7316037898968679194,1703397818,江西,7293352610868907274,如果你是那些动物，你会怎么想？[流泪][流泪][流泪],103867009138,MS4wLjABAAAAtLCJXFeOl5nQglwhdssp6dWC4l3gxWkw57_CQ4m_4Kg,44904661301,44904661301,我是野猪佩奇，这是我也我的弟弟，野猪乔治，这是我的妈妈，这是我的爸爸。,我是野猪佩奇,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813c001_ooCgNEaInWx0uC7mgDbRArAAfeOZAlAAuWs9AC.jpeg?from=2956013662,1,1703400774022,0
7312486890182951691,1702571042,湖北,7293352610868907274,大蓝虽然偶尔吹下牛逼，但是三观绝对是没问题的，只是喷子太多了，总是喷他[捂脸][捂脸][捂脸][捂脸],3566459088546968,MS4wLjABAAAARVnn2bH5jbyADvqM-0JsSNi7kxxLrdEiRUx0kQsc7Ncekd7DdzzXHmc99aErTJrY,3812149515,zongxiangchi74,,总想吃点什么,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_3c3fd091402c4309ac2eeb5ca86e5742.jpeg?from=2956013662,2,1703400774022,15
7293386042131923727,1698123772,广东,7293352610868907274,总有三观正的人，给你点赞[赞][赞],1750043542949491,MS4wLjABAAAAdTXgLJsR4xWV86L72uEXrBmOr3JSuwh43O2E9GP3N2GFW_mYqwRR-Fvt_EOVp7zY,3606260944,dys4bp66q6db,,爽歪歪,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/mosaic-legacy_3795_3033762272.jpeg?from=2956013662,17,1703400774022,163
